Date,Title,Content
31 October 2020,Doc990 Brings on Seetha Channelling Services and Pharmacies,"L to R : Buddika Wickramasinghe - Business Development Manager; Digital Health Pvt Ltd, Shirantha Gannoruwa - Chief Finance Officer; Seetha Group of Companies, Lakshman Premachandra ; Managing Director, Seetha Group of Companies, Reza Aniff - Head of Digital Services; Dialog Axiata PLC, Navoda Rathnayake - Business Development Manager; Digital Health Pvt LtdPowered by Dialog Axiata PLC, Sri Lanka’s premier connectivity provider, Doc990 is Sri Lanka’s top online service for channelling doctors from private hospitals. It is safe, convenient, and currently has over 140 hospitals in its portfolio. In order to serve its users better, Doc990 is expanding its service offerings across Kandy by integrating Seetha Channelling services and pharmacies.Seetha Holdings Pvt Ltd is a leading brand that has diversified into pharmaceuticals and doctor channelling services in the Central Province of Sri Lanka. Doc990 working with Seetha Holdings in Kandy strengthens their hospital network whilst expanding their pharmacy networkthrough the Seetha Channelling Centre. As a result of this two-way integration, users from the Central Province can also make bookings to Colombo hospitals as well via the Seetha Channelling Centre.Users from Kandy can make bookings by calling 990, visiting www.doc.lk, or via the Doc990 mobile application. Users can also channel a doctor at any Doc990 hospital island wide through a Seetha pharmacy.Through its widening network of hospitals and medical services, Doc990 is making healthcare accessible and convenient for everyone in the country. Visit Doc990 to find out more. "
11 June 2017,CSE to include non-voting shares in IMC calculation,"The Colombo Stock Exchange (CSE) announced the inclusion of non-voting shares which are listed and traded on the exchange in its Index Market Capitalization (IMC) calculation.Including non-voting shares in the calculation of indices is a common practice internationally, and is carried out by a number of leading exchanges and index providers globally. Non-voting shares are eligible for inclusion in the calculation of Domestic market capitalization according to the statistical definition of the World Federation of Exchanges.From June 19, the All Share Price Index (ASPI) will include the non-voting shares currently listed on the CSE.The non-voting shares listed by the respective constituents of the S&P SL 20 Index are set to be included in the S&P SL 20 Index, provided that they meet relevant liquidity requirements. "
5 June 2021,First Capital records Rs. 2.09 billion PAT  for 2020-21,"First Capital Holdings PLC recorded a Consolidated Profit after Tax of Rs.  2.09 bn for the financial year 2020-21. The results show significant growth compared to Consolidated Profit after Tax of Rs.  1.07 bn recorded in the previous year. The Total Comprehensive Income recorded for 2020-21 is Rs.  2.01 bn  compared to Rs.  1.04 bn reported in the previous year. The Company’s financial position remains strong with total assets of Rs. 36.7 bn and Equity in excess ofRs.  4.8Bn. First Capital is a member of the Janashakthi Group. Chairman, First Capital Holdings, Nishan Fernando said, “Our progress during the year is a testament to our strength as a trusted institution with a history of over 35 years.” First Capital’s Primary Dealer division contributed Rs. 1.83 bn in Profit after Tax for the year 2020/21, strengthening its position as market leader.The Company’s Corporate Finance division contributed Profit after Tax of Rs.  265 mn for the financial year. The division mobilised over Rs.  10.5 bn in listed and unlisted debentures during the period. The Company’s Wealth Management division recorded a Profit after Tax of Rs.  83 mn for the year, delivering its best financial results to date.  The division showed significant growth in its assets under management from Rs.  26.4 bn ( March 31, 2020) to end at Rs.  45.2 bn as at March 31, 2021.  The Company’s benchmark unit trust, the First Capital Money Market Fund has been the fastest growing fund in its category (Open-Ended Money Market Fund) to surpass Rs.  20 bn in Assets.The Company’s Stock Brokering division recorded a substantial increase in Profit after Tax of Rs.  75 mn for the year 2020/21.Director and Chief Executive Officer, First Capital Holdings, Dilshan Wirasekara  said, “This year we have delivered our best financial performance in history. As we embark on a new strategic plan, designed to steer our future growth, we remain optimistic about our ability to deliver value to all our stakeholders.”  Further reinforcing the Company’s stable financial position, ICRA Ratings upgraded First Capital Holdings PLC to[SL]A with a Stable outlook.  First Capital Holdings PLC declared an interim dividend of Rs.  5 per share amounting to Rs.  506.25 mn for 2020-21 in March 2021."
10 January 2021,Show gratitude to your employer this year,"While some big companies reduced employee benefits as a means to reduce cost in the new normal world. Some companies thought otherwise and looked after their employees respecting the notion and principle that employees in fact are its best asset. This is the year for you to pay back to your employer. We all need to know that we’re important in other people’s lives. We all want to be noticed, valued, respected and rewarded -that we all know and ponder about day in day out.Our whole focus is on ‘what’s in it for me’. Well you deserve what you deserve!  At the same time as employees we have our obligations to the employer as well. The give and take policy applies in its true spirit to the ‘employer – employee relationship’ too. Gratitude is at the core of all healthy partnerships. It’s important for you to also understand the difficulties and objectives of your employer, and then do the work you are being paid to do with honesty. Fulfill all of your job responsibilities with a “sincerity of heart” – I repeat with a ‘sincere heart’. You have workplace rights – rightly so, but at the same time you do have to do your job meeting expectations and respect your leaders vision — as in showing them consideration for their effort to keep the team intact and motivated for results that benefit all.Love and empathyHow about showing a little love and empathy to your employer? You may ask - What? The same people who gave me no or a very small salary increase this year and laid off my buddies? We are all too quick to go for the negative aspects of working in these tough times. But how about one single reason to be grateful for - you have a job and a guaranteed income. The majority of employees would never say they earn enough or are paid well – that’s nature. But mind you many are not so lucky to have a job like you.It’s important to check both sides of the coin before you express your feelings and pass judgments. It’s your contribution that will make the business grow. You have to first give and take back your share.Show gratitude to the employer? How can one do this? Oh… in numerous ways, it varies from place to place but there can be common themes that run across the majority of employers – no matter what industry and business you are in.Volunteer for an important value creating project done by your colleagues in another department. Maybe it’s not an interesting or resume-enhancing one, but it will help your bosses to sustain your benefit package or even enhance it.Work overtime or sacrifice a few hours during weekends if necessary without any expectations of acknowledgement or future compensation. Ask yourself – have you not rejected such small extra contributions for the betterment of the organisation? How many times have you engaged in such activities wholeheartedly? You should train yourself to see the end result of your extra voluntary efforts.FeelingsGive reasons to your bosses to recognise and reward you. Don’t blame them if they have read you right and placed you where they think you should be. After all, your bosses have similar feelings like you and they need inspiration and motivation.How have you shown your employer/boss you’re grateful lately? Your employer takes ultimate responsibility to pay you regardless of whether the company has made profits or not.Your employer gives you the security of a regular income and annual benefit package you can plan and depend on. Your employer takes the hit when there is an economic collapse or slowdown, the dollar rises or falls, fluctuating interest rates or some other business sensitive market situation arises.Your employer deals with bitter and prohibitive regulations and legislation that negatively impacts the business, pays high taxes and duties and makes various other contributions to the economy that helps your country men to have a decent quality of life.You get to go on holiday with your family and leave the business behind – isn’t this guaranteed. Most of all you can leave the organization for better prospects or for any personal reasons.  How good is that?Have we ever tried to understand and comprehend the value of our employer and extended the gratitude in whatever form or shape to say thank you and also feel good about the attitude of gratitude which all good human beings should nurture and respect.Never too lateCultivating gratitude is one of the simpler routes to a greater sense of emotional well-being, higher overall life satisfaction, and a greater sense of happiness in life. People with a greater level of gratitude have stronger relationships in that they appreciate their loved ones more and their loved ones, feeling that appreciation, do more to earn it.Those who are happy, sleep better and enjoy healthy relationships - grateful people tend to be healthier people.Fortunately, gratitude can be cultivated, and this can be accomplished in several ways.During the next few weeks, try some of ways of and exercise good examples of gratitude you get exposed to, and you will notice a significant increase in your feelings of gratitude -— you will likely find yourself noticing more positive things in your life, dwelling less on negative or stressful events and feelings of rejection and having a greater sense of appreciation for the people and things in your life.To start with when you notice yourself grumbling about a negative event or stressor in your work life, try to think of four or five related things for which you are grateful. Learn from others who are better than you – never benchmark with colleagues who do not demonstrate the ideal behavior and attitude.Know that your bosses know to compare the right way. So you cannot hide behind – you are exposed, which has its own merits and demerits. StressMany people cause themselves unnecessary stress by making comparisons. More specifically, they cause themselves stress by making the wrong comparisons.They compare themselves only to those who have more, do more, or are in some way closer to their ideals, and allow themselves to feel inferior instead of inspired.In cultivating gratitude, you have one of two options if you find yourself making such comparisons: You can either choose to compare yourself to people who have less than you (which reminds you how truly rich and lucky you are), or you can feel gratitude for having people in your life who can inspire you.Either road can lead away from stress and envy, and closer to feelings of gratitude. Employers are often seen as the bad guys when in fact they are everyday heroes and optimists. If you are in a job right now, accept that until the time is right, a job is a very great privilege and go say ‘Thank you’ to your bosses today.Developing gratitude is one of the most important and essential  things that you can do to attract and manifest the things that you desire into your life – in this case through your employer. "
26 March 2017,Venivelgeta: new technologies for an old herb,"Venivelgeta, which is highly sought after, for health-care and cosmetic purposes, is finding new uses in battling diabetes and cancer. Today, new technologies are being utilised to cultivate it on a large scale and to extract its essential therapeutic compound.The venivelgeta vine (Coscinium fenestratum), known as atturam or kadari in Tamil, and internationally as tree turmeric or false Columba, grows wild in South and South-East Asia.It figures on the list of highly endangered species, because of the time each plant takes to mature, which makes it vulnerable to over-exploitation. Certainly there is a growing, already high demand for the thick stem and root, to produce medicines, wellness products and cosmetics. Now, the demand is likely to be turbo-charged by the needs of new therapies, emerging from current scientific investigationsVenivelgeta is widely used in Asian indigenous medical systems, including Ayurveda, Siddha, Unani and Sinhala vedakam. A study by the Industrial Technology Institute (ITI) and the Wayamba University found that approximately 31 tonnes of venivelgeta are used therapeutically by practitioners of indigenous medicine in Sri Lanka each year. Companies producing skin care and cosmetic products use even more.“The component of venivel of therapeutic value,” says Dr MenukaArawwawala, Principal Research Scientist, Herbal Technology Section, “is called berberine.”Berberine, a complex organic chemical compound containing nitrogen, gets its name from the barberry (Berberis vulgaris), in which it is present. The herbsrasandu (Berberisaristata) and rasakinda (Tinosporacordifolia) also contain the substance.“It has an anti-bacterial action,” says Dr Arawwawala, who has worked on extracting the substance from the trunk of the plant, and on developing standards for berberine content in market samples, “and is used in traditional medicine for reducing fever and for digestive disorders.”Multi-purpose drugWidely used for thousands of years as an antibacterial, antifungal, and anti-inflammatory drug, as well as a gastrointestinal remedy; by South and South-East Asians, by Chinese and by American Indians; the cosmetic applications of berberine include use in fairness creams, body lotions, soaps and bath additives.Recent research has also pointed to its efficacy in treating diabetes. In 2008, the Shanghai Jiaotong University School of Medicine and Pennington Biomedical Research Centre, Louisiana, in the USA jointly carried out a pilot study.They found in berberine, a safe, low cost and potent treatment for excessive blood sugar. Two years later, scientists at the Shanghai University of Traditional Chinese Medicine found that berberine mimics the action of insulin in lowering high blood sugar, but did not increase insulin levels.Berberine also has potential as a therapy for cancer. Scientists at the University of Coimbra in Portugal: found evidence that berberine interfered with the metabolic regulation of tumour cells, making it a safe anti-cancer agent.Scientists at Patanjali University in India found that, used with curcumin, the principal chemical in turmeric (Curcuma longa or, in Sinhala and Tamil, kaha and manjal respectively), berberineworked against cancer. Researchers at the University of Macau in China tested the effects of the combination on breast cancer, concluding that it offered a pathway to prevention and treatment of the disease.Limited availabilityOne of the inhibiting factors slowing down research is the lack of availability of berberine. Venivel takes 15 years to mature and flower, meaning that both availability of the raw material and of seed stocks is limited. Seed stock also lose viability over time.This limits the viability of venivel as a cultivated crop. It also impedes the ability of producers to meet the expected exploding demand, due to the research which has taken place.Herbal products manufacturer Link Natural Products (Pvt) Ltd uses venivel in its traditional medicines, such as Samahan and Pas Panguwa, and in its skin-care and cosmetic formulations. The company collected its stocks of the liana from the forests, in the time-honoured way, which is time-consuming and inefficient. Link began looking at methods grow venivelgeta creepers, to speed up production, and obtained the services of PriyanvadaWarakagoda, a post-graduate student at the University of Ruhuna. Researching for the company, at the university’s facility at Kamburupitiya, she concurrently wrote her PhD thesis on developing an agro-technological package for herb production.Venivel is usually propagated from seed, but this is an inefficient cultivation method, since only about 10 or 12 plants grow successfully from 100 seeds, the hard seed coat discouraging germination – which only takes place after six months.Warakagoda and her team first experimented with improving the success rate of germination from seeds, which they collected from lianas in the Sinharaja, Kannelia and Wilpita rainforests. They achieved considerable success by exposing the seeds to sunlight for six hours, soaking them for a day in the gibberellic acidhormone, planting them in a sand-coir mixture, and keeping them in uncontaminated, dark and hot conditions.Five stagesDespite a very high success rate, constraints remained on mass planting – the seed stock is limited by the rarity of the vine and the time taken for flowering.Vegetative propagation, using cuttings, proved of low success. Warakagoda turned to tissue culture techniques, or micro-propagation – a quite complicated operation, taking several months to deliver plant stock.The process involves five stages: firstly obtaining the ‘mother stock’ from seed, free of contamination, in the plant house and maintaining it free of pests; secondly pruning the mother stock, to obtain new shoots as planting material –called ‘ex-plants’ – which are surface-sterilised and placed in an artificial culture medium in test tubes in a culture room. After a few months, the stock is replanted in a new artificial culture medium, in a larger vessel, in order to induce shoot proliferation. The stock is kept within the culture room, under controlled conditions, including 14-hour lighting cycles alternating with shorter periods of darkness. The fourth stage involves rooting the stock in a new artificial culture medium. The media used at the different stages vary according to hormone usage.In the final stage, acclimatisation phase, the microplants are taken out of the culture room and planted in a sand-coir mixture, in planting trays. They are, gradually, over a period of about a month, taken out of the previous artificial controlled environment and acclimatised to the real conditions existing outside.It proved possible to provide a large plant population using tissue culture. Nevertheless, the problem of the 15 years’ period for maturity remained. So, instead of extracting from the trunk, Warakagoda’s team developed a method of using the leaves – inducing the growth of callouses, from which Berberine could be extracted. The quality of callous-sourced artificial berberine matches that of the stem-produced ‘natural’ variety.The first harvest of callouses is within six months, compared to 15 years for gathering stems. Of course, the yield of berberine from a mature stem surpasses the equivalent production of the artificial variety. However, the turnover time of investment is much less, and cultivators could begin getting a return in less than a year.This opens the pathway for Sri Lanka to become a major producer and exporter of berberine, and to become a hub of scientific herb production. "
19 April 2020,The world is changing Now,"COVID -19: A ruthless killer to human power with no mercy, has challenged the social lives and relationships. It has distanced us physically from each other to feel the value of great relationships. People have been fenced and cornered to feel the power of love and affection. COVID -19 defines the distance amongst us depriving emotions, feel & touch. Major violators of rules set by COVID -19 are directly migrated to the place of no return with no excuses. It teaches us a great lesson in the near history of the world. Thank you for shaking us and showing us that we are dependent on something bigger than what we think. The hidden forces of universe commanding us to rest and stay at home. Earth is begging us to support its rebuilding process, which has been disturbed due to unprecedented human actions and greediness. COVID -19 is now creating the future of the world today. It demands us to imagine and rebuild a better world for the next generation. It is a great opportunity in disguise for survivors who battled against by following the rules set by itself. Hence, it is time to tame ourselves and to follow the rules defined by COVID -19. This is vital: first to survive from the killer coronavirus and second to make a better world for all of us.Peoples In- Animals OutIt is strange that flora and fauna simply get on with their normal habitats, whilst humans have been sighed off with no options. However, our minds are forced to imagine & observe the natural behavior of animals around us. Monkeys climb up to the treetops grinning at us. They eat leaves & vegetations and enjoy freedom of living. Birds fly and sing while trees bends creating waves of cool winds sourced from the sea. The sea is silent making occasional thunder waves to tell the Sea Hunters to stay away from its territory. Most intelligent animals (Mammal) termed as humans on earth are restricted and confined to walls created by themselves. Animals are out of walls while people are behind the walls in manmade zoo’s This is called reverse thinking by Dr. De Bono. Houses built using motor and bricks are packed with people with no hopes and expectations while natural habitats in villages have become the safest heaven for people.What is Due for FutureCOVID -19 demands us to answer few research questions if we are to rebuild the life of mankind. These premises or hypothesizes need to be tested empirically before arriving at conclusions. Some of them are conceptual while the others are experiential in their own nature of operand.Technology Overpowers the HumanityMost of us believes that a machine can never overpower humans as it is always a human that design and create any machinery. It is a well-accepted fact that human intelligence and consciousness cannot be implemented by a human programmer, it forms itself. Some argue that machine (Robot etc.) will overtake human beings but the real question remains if it is good or bad if technology overpowers the humanity. COVID -19 forces us to separate ourselves but technology supports us to keep connected. It is technology that keeps us connected even at a crisis and helps people to maintain better relationships through social media and internet of things. Online businesses and personal communications facilitate smooth functioning of day to day lives. Technology breaks all authority levels both vertically and horizontally. It creates a fully pledged networks amongst all of us and new value chains are created at the expense of real humanity. The pertinent question that we should ask ourselves is that what if the same situation continue with new generations by distancing people at social and physical levels.Truth is Minority Not the MajorityOnce Soren Kierkegaard said “truth always with the minority, and the minority is always stronger than majority”. Minority is the vital few with a strong and tested knowledge while the majority is illusory and with untested opinions. In any given situation, opinion of the minority is well refined, and it is tough to implement with the support of the majority because of its power. COVID-19 forced leaders to take decision without thinking of the majority but the minority of experts. Those who took or will take bold decisions with the opinion of minority have or will challenged the COVID-19 and the rest will be succumbed. COVID -19 is the truth and the minority and majority of people will suffer due to nonacceptance of the truth of minority. Think of the universal principle that minority has the truth while majority has the power. It is a test of leadership that minority leads while the majority is silent and supportive. In term of the current crisis of COVID -9, we are still to witness the response and the power of the world leadership.Reverse Thinking is More ProductiveReverse thinking is the inverse of normal thinking. Thinking in reverse can make you more creative and productive in life. We need to identify the problem and think to create ideas reversely. C0VID -19 challenged and forced all of us including students to stay at home. We thought it was a blessing to guide & train our students in our newly built online LMS and keep them engaged safely at home. It’s a reverse thinking scenario as keeping students away from us. The norm is to motivate students to visit us regularly. COVID-19 forced us to be at home as a result, many vendors start visiting us creating a supply chain, which saves time and minimize the environmental pollution too. We can build a new zoo like in Japan with animal playing outside while people in cages with a fence observing the natural behavior of animals. Our minds are always creating paradigms and shifting them is tough without having a crisis.Business Enterprises are OvermanagedCOVID 19 taught us and made clear that many business enterprises are overmanaged and overstaffed. It was evident that many organizations in the country run smoothly while the staff is resting at home. Organizations can be managed with a simple set of technology-based management tools and the resultant cost would be extremely lower than the normal cost but with the same level of operations. Hence, COVID-19 forced us to re think and to redesign the structure of the organization with clearly defined new roles to be played by employees and the management. It is high time for CEOs to redesign their business model and value chains so that more sustainable business environment could be created for the benefits of all stakeholders.Healthy Sustainable LifestyleThe idea of living a sustainable lifestyle is about living in such a way that supports a healthy body and mind, while also supporting the health of the planet for the benefits of the current and future generation to come. COVID -19 is currently teaching us a great lesion of having sustainable lifestyle without damaging the environment. Traditional Chinese Medicine (TCM) has been playing a critical role in the prevention, treatment and rehabilitation of novel coronavirus pneumonia. Though health experts in Sri Lanka refute claims of herbal cure for novel coronavirus, many people in the field of Ayurveda and household levels have tested traditional medicine to improve immune systems of the body. The planet is begging from all of us to give it a rest and to have a sustainable life by reducing pollution and overconsumption of its natural resources. Hence, it is time to tame ourselves and to follow the rules defined by COVID -19. This is vital: first to survive from the killer coronavirus and second to make a better word for the next gen Z and Alfa.Dr. DMA KulasooriayaDirector GeneralNational Institute of Business Management"
20 September 2020,Govt to step up turmeric production ,"Several attempts to smuggle turmeric were foiled by the Sri Lanka Navy (SLN) over the past week as the government continued to hold onto its decision to ban the import of the spice to promote local production.SLN in a press release last week stated that the Sri Lanka Coast Guard seized about 1058kg of dried turmeric being smuggled into the country in the estuary of Deduru Oya, Chilaw.During a special patrol in the estuary of Deduru Oya, Sri Lanka Coast Guard found the consignment stuffed in 21 gunny sacks, after inspecting a suspicious dinghy at the location. The stock of dried turmeric and the dinghy will be handed over to the Customs Office of Sinnapadu for further investigation in keeping with health guidelines of the global pandemic. Operations are currently underway in search of the suspects.In a separate incident, Naval operations led to the seizure of an 818kg consignment of dried turmeric being smuggled into the country by sea and apprehension of two suspects on Wednesday (16). During a special operation, the North Central Naval Command nabbed two suspects who were attempting to smuggle around 510kg of dried turmeric by a dinghy north of Mannar. The consignment had been stuffed in 12 sacks as they were recovered by naval personnel.In another special operation conducted at Vankalai in Mannar, the Navy seized about 308kg of dried turmeric in five delivery sacks, left behind at the Vankalai beach. The suspects held in connection with the racket were identified as residents of Palleimunai, Mannar, aged 26 and 37. They were handed over to the Public Health Inspector of Talaimannar for quarantine. The seized consignments had been disinfected to comply with Covid-19 guidelines and they will be handed over to the Jaffna Customs Office for further investigations, the SLN stated.SLN apprehended three suspects with over 520kg of dried turmeric attempted to be smuggled into the island in another special operation conducted in the sea of Mundalampiddi, Mannar on Wednesday. SLN stated that over 520kg of dried turmeric stuffed in 12 gunny bags were held by the North Central Naval Command as the suspects were attempting to transfer the consignment by a traditional boat (Wallam) in above sea area.The suspects who are between 22 to 55 years of age were identified as residents of Palleimunai in Mannar. They were produced before the Adampan Medical Officer of Health for inspection. The seized stock of dried turmeric and the boat had been disinfected to comply with Covid -19 guidelines and they will be handed over to the Jaffna Customs Office for further investigations.Turmeric smuggling was rampant since the government banned its import in December last year.The attempt to aid small and medium businesses and growers caused turmeric prices to sky-rocket, and in some cases left adulterated turmeric to enter the local market. However, since then the situation has improved as growers were encouraged to increase the yield. The government said it will continue the import ban.Minister of Plantations Ramesh Pathirana told media that the country can produce at least 4,000 metric tones of turmeric. This is over half the requirement for local consumption. The Consumer Affairs Authority has stepped in to impose a maximum retail price of Rs. 750 per kg of turmeric.During an official visit to Maha Nanneriya in the Kurunegala District, on September 7, Highways Minister Johnston Fernando said President Gotabaya Rajapaksa instructed agriculture sector officers to take steps to produce turmeric for the local consumption and maintain a fixed price.He said that due to the growing demand for turmeric a kilo is sold at a price between Rs. 4,000 to Rs 5,000.“Some question as to why we do not import turmeric. If we permit imports the traders will import in excess, store them and release to the local market later, which will result in discouraging the local producers,” he said adding that the Government has taken steps to build a self-sufficient economy.“It is my belief that Sri Lanka could be made a vibrant economy in Asia,” he said. Minister of Trade Dr. Bandula Gunawardena said the government may ease restrictions for re-export. This decision was made following discussions with local businessmen."
2 May 2021,BPPL strengthens commitment to sustainability,"One of Sri Lanka’s pioneers in creating eco-friendly products, BPPL Holdings, affirmed its commitment to sustainability in business in view of ‘Earth Day’ this month.This year’s theme, ‘Restore our earth’, focuses on natural processes, green technologies and innovative thinking to restore the world’s ecosystems.The Group noted that globally, sustainable management and protection of Earth’s natural resources has become a priority to mitigate the burgeoning industrial practices that negatively impact the environment.Sustainability continues to play a key role in protecting ecological health and natural resources for future generations.One of BPPL Group’s core businesses, Eco Spindles, recycles over 360,000 plastic bottles a day into polyester yarn and monofilaments. The company’s mission is to reduce the carbon footprint made on Earth by integrating sustainability and technology into waste recycling. “We embrace sustainability at the heart of our business operations. To date, we’ve recycled over 380 million plastic bottles. We are very proud of our contribution towards a greener Sri Lanka. We must all understand that Earth’s resources are exceedingly finite and engage in business in a way that protects and conserves natural resources. In today’s day and age, businesses need to be held accountable to making sustainability a part of their corporate strategy,” said Managing Director of BPPL Holdings, Anush Amarasinghe.A commitment to sustainability requires companies to engage in ethical business practices. Sustainable sourcing plays a critical role in creating responsible supply chains and integrates social, ethical and environmental performance factors into the process of selecting suppliers. To this effect, BPPL noted that the Group’s subsidiary, Beira Brush, practiced ethical sourcing by procuring their timber from FSC (Forest Stewardship Council) certified plantations in Sri Lanka. “FSC certified timber is a strong pillar for sustainable industries.An FSC certification ensures the use of environmentally appropriate forest management practices in the production of timber. FSC helps take care of the ecosystem, wildlife and people who call these forests home,” said, Head of Compliance and Sustainability at BPPL Holdings, Widya Karunaratne.The Group also prioritises sustainable power generation in their factories. Fifty-three percent of the power required by the company is generated out of solar and biomass energy.The synthetic filament factory at Eco Spindles is a LEED certified green building, and generates solar energy during production.The filament factory has been designed and built using strategies aimed at improving performance across energy consumption and stewardship of resources and sensitivity to their impacts.“Burning fossil fuels and continuing to deplete already scarce resources is irresponsible of businesses and individuals. The market for clean energy is changing as there is a shift towards renewables and other advanced energy technologies. Located close to the equator, we are gifted with an abundance of sunshine, making solar energy generation a very practical solution. As an energy-intensive industry, the commitment made by BPPL towards sourcing renewable energy is notable,” said Karunaratne.Reiterating their commitment to sustainability, Managing Director of the Group, Dr. Amarasinghe reiterated that businesses need to not only focus on making profits, but also understand and mitigate the impact a business will have on the environment and societies.He said, “Our biggest contribution to sustainability in Sri Lanka is through the recycling of plastic bottles. However, we only recycle up to 20% of the plastic that has been used in the market. If we are to thrive as a cleaner economy, it is critical that we implement strict waste segregation rules including the collection of segregated garbage which certain municipalities are no longer practicing, and strengthen collection efforts.”Around 53 percent of the power needed by the company is generated through solar and biomass energy"
24 May 2020,Records tumble at CSE,"The consolidated turnover for the second week of trading at the Colombo Stock Exchange since the market reopened on May 11, 2020, was Rs. 8.04 billion, despite the limited trading hours.Both indexes continued to gain this week setting and resetting the all-time high percentage jump for the S&P SL20. On Monday, May 18 the S&P gained 5.25% which was bettered on Thursday when the S&P gained 6.28%. Both indexes have reached pre-market close levels.The ASPI ended the week on 4799.89 while the S&P SL20 index ended on 2034.3 The overall market capitalization gained Rs. 109 Billion over the past two weeks.Overall an increase in volumes in terms of Turnover was noted at the CSE recording a daily average turnover of Rs. 1.8 billion over the past 10 days of trading."
28 March 2021,CSE  and SEC invite family businesses to list,"The Colombo Stock Exchange (CSE) and the Securities and Exchange Commission of Sri Lanka (SEC) engaged the family business community in Sri Lanka through the inaugural Issuer Forum for 2021 on the theme ‘Founder to Family - Leveraging Going Public’, at the Shangri-La Hotel Colombo recently.The event was organised to highlight how a family business can take advantage of going public while ensuring the family retains control and continues to guide the vision of the business and to address the misconceptions regarding listing which deter businesses from exploring an Initial Public Offering. Globally, companies access public markets for varying reasons including, diversification of funding options to lower bank credit exposure, funding for growth, attracting strategic investors who believe in the company growth story, strengthening management and corporate governance structures and to ensure survivability post-founding generation.The Chairman of the Securities and Exchange Commission Viraj Dayaratne said, “One of our objectives is to increase liquidity of the market. There are many misconceptions in the market. One is that the listing process is cumbersome, that it takes time and also that it can be very expensive. But it is not cumbersome or expensive as many would perceive. It is one of the best options to raise capital. And that is why we want businesses to come to the capital market and make use of the opportunities. Government has created a healthy environment. The last budget proposal has given many tax incentives which are open until the end of the year. So it is the best time to come and list your company.”Over 70 representatives of prominent family businesses in Sri Lanka were present. The content discussed included sessions on how best to structure an IPO, the preparatory process for a Family business before an IPO and Wealth Management for Family Businesses, as well as Regulatory benefits and tax advantages post IPO, which will help in balancing the Family’s needs as well as those of future stakeholders. The program also featured an interactive panel segment where  SEC Commission Member Manil Jayasinghe, Director General SEC Chinthaka Mendis, CSE Chief Regulatory Officer Renuke Wijayawardhane and the Head of Origination and Issuer Relations at the CSE, Purasisi Jinadasa took part.  "
19 January 2020,Yarlpanam Chamber welcomes package to revive ailing SMEs,"The Northern Province looks forward with renewed hope for a better economic environment for its businesses, especially the small and medium enterprise (SME) sector.“We are hopeful that the government will continue its efforts to revive ailing SMEs and with the recently introduced debt relief package, the SME sector is confident that they could contribute more towards the national economy with the funding facilities available for the sector. As the entire business community regards the government’s move as a positive development towards economic growth in the Province, the community works with much vigour to make a significant impact on the economy,” President, Chamber of Commerce and Industries of Yarlpanam (CCIY), K. Vignesh said.The business community did not have an opportunity to upscale or technology infusion due to many reasons, lack of funding being the major cause. Therefore, we will benefit from the funding facilities and are looking forward to becoming a vibrant economic force in the country, he said.Lack of financial assistance has been the biggest drawback for emerging businesses and entrepreneurs are encouraged by the government’s approach towards the SME sector. They are eagerly waiting to revive businesses and this is a positive sign towards the upward movement of the economy, he said.“We see a great opportunity in the Jaffna International Trade Fair 2020 to be held next week as it will provide the much needed platform for entrepreneurs to build business links and contacts while showcasing their abilities and capacities,” he said.Jaffna International Trade Fair 2020, a one of its kind in the Northern Province, will be launched on January 24 and will go on till 26 at the Muttraweli grounds in Jaffna.An annual event since 2010, this year Jaffna International Trade Fair will feature trade stalls, live evening musical shows, an amusement park with children’s play area, Hawker type food court and a range of seminars and workshops this year.The very first Jaffna International Trade Fair was held in 2002, during the ceasefire of the three-decade war on terrorism in the Northern region, as a mechanism to develop and upgrade the trade functions in the Northern region.The first exhibition was held amidst many challenges such as checkpoints, lack of accommodation facilities and limited resources.After peace returned in 2009, the second exhibition was held in 2010 which has been an annual event up to this year.The International Trade Fair serves as a platform to bring together Southern and international entrepreneurs and traders to meet and engage with their Northern counterparts.Jaffna International Trade Fair 2020 is organized for the 11th consecutive year by Lanka Exhibition and Conference Services (LECS) in association with the Chamber of Commerce and Industries of Yarlpanam (CCIY) with the support of the Jaffna Municipal Council, International Business Council, the Ministry of Industry and Commerce and the Consulate General of India in Jaffna.The event is known to be a multi-trade affair featuring agriculture, hospitality, education, fashion and food industries with all most all the Northern hotels going on full occupancy and other services and transport and logistics also seeing a rapid growth during the period.Organisers noted that the exhibition is also a good opportunity to introduce many value added products from Jaffna to the international market, especially the UK, US, Canada, Australia and Switzerland through the Export Development Board.Jaffna Trade Fair also serves as a platform to introduce global trends to the Northern region of Sri Lanka and as an opportunity for northern communities to exhibit their products and services to the rest of the country."
