Sentence,Organizations
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
The Bond Commission,recommendation to,inquire
The Bond Commission,recommendation into,‘
The Bond Commission,recommendation into,the reasons
follows:“The Central Bank,established as,the authority
The Bond Commission,recommendation to,inquire
The Bond Commission,recommendation into,‘
The Bond Commission,recommendation into,the reasons
follows:“The Central Bank,established as,the authority
the Bank,charged In,accordance
the Bank,charged with,the responsibility
the Central Bank,distinguish from,any other entity
the Central Bank,recorded in,terms
the Central Bank,recorded in,terms
the Central Bank,recorded in,terms
the Bond Commission,referred in,arriving
the Bond Commission,referred to,a ‘significant’ fall
the Bond Commission,referred in,2011
the Bond Commission,referred in,arriving
the Bond Commission,referred to,a ‘significant’ fall
the Bond Commission,referred in,2011
the Commission,seems In, 
the Commission,seems In,doing
the Commission,seems In, 
the Commission,seems In,doing
the EPF,invests in,a ‘portfolio basis
the EPF,invests in,a ‘portfolio basis
the Colombo Stock Market,recovered in,2014
the Colombo Stock Market,recovered in,2014
the Colombo Stock Market,recovered in,2014
the EPF,contains by,the present Governor Dr Indrajit Coomaraswamy
the EPF,contains by,the present Governor Dr Indrajit Coomaraswamy
the EPF,contains by,the present Governor Dr Indrajit Coomaraswamy
 The EPF,embraces as,an integral component
the EPF,indulged in,‘
the EPF,indulged in,pumping
the EPF,indulged despite,the Supreme Court ruling
the EPF,indulged in,‘
the EPF,indulged in,pumping
the EPF,indulged despite,the Supreme Court ruling
the Monetary Board,involved In,keeping
the Monetary Board,involved in,any manner
the Monetary Board,involved in,drawing
the Monetary Board,involved In,keeping
the Monetary Board,involved in,any manner
the Monetary Board,involved in,drawing
Bonds,issuing from,February 27
Bonds,issuing from,February 27
the Monetary Board,been in,charge
the Monetary Board,been in,charge
the Monetary Board,defended On,numerous occasions
the Monetary Board,defended On,numerous occasions
 The Initial Public Offering,oversubscribed on,the same day
 The Initial Public Offering,oversubscribed on,the same day
 The Initial Public Offering,oversubscribed on,the same day
Chrissworld Ltd,attract from,the Stock Market
NIO,is After,listing
NIO,is After,listing
Jean-Claude Carrière,is For, 
Jean-Claude Carrière,is For,instance
an International Multi-Currency Exchange,establish within,the Port City Colombo
the Colombo Stock Exchange,partner in,establishing
the Colombo Stock Exchange,partner in,establishing
the Colombo Stock Exchange,partner in,establishing
the Colombo Stock Exchange,partner in,establishing
 The CSE,work with,the regulators
 The CSE,work in,providing
Asia Securities Research,sees With, 
Asia Securities Research,sees With,lower currency risk
Asia Securities Research,notes With, 
Asia Securities Research,notes With,stronger growth prospects
Ant Group,scuppered Before,ordering
 The Central Bank,monitoring under,its supervision
 The Central Bank,monitoring under,its supervision
 The Central Bank,monitoring under,its supervision
 The Central Bank,monitoring under,its supervision
the Central Bank,monitoring for,some time
the Central Bank,proposed With,regard
the Central Bank,proposed due,to
the Central Bank,proposed due,its deteriorated financial status
the Central Bank,proposed With,regard
the Central Bank,proposed due,to
the Central Bank,proposed due,its deteriorated financial status
The Central Bank,cut by,50 basic points
The Central Bank,cut to,6.50 per cent
The Central Bank,cut by,50 basic points
The Central Bank,cut to,6.50 per cent
The Central Bank,cut by,50 basic points
The Central Bank,cut to,6.50 per cent
The Board,arrived at,this decision
The Board,arrived following,an analysis
The Central Bank,anticipates following,last year
the Colombo Stock Exchange,witnessed during,this period
 The Association,marked in,its journey
the Association,working with,all key stakeholders
CSBA,is to,which
the Association,working with,all key stakeholders
CSBA,is to,which
the Association,working with,all key stakeholders
CSBA,is to,which
the Association,working with,all key stakeholders
CSBA,is to,which
the Association,working with,all key stakeholders
CSBA,is to,which
the Association,working with,all key stakeholders
CSBA,is to,which
the CSBA,extend for,which
the CSBA,extend for,which
the CSBA,extend for,which
the CSBA,consists of,18 member firms
the CSBA,consists of,18 member firms
 The Colombo Stock Exchange,implemented on,August 16
 The Colombo Stock Exchange,implemented on,August 16
 The Colombo Stock Exchange,implemented on,August 16
CSE,focused on,providing
CSE,focused on,providing
GRI,worked Since,2018
GRI,worked Since,2018
GRI,worked Since,2018
WhatsApp,more affordable yet very powerful Twitter for,commercial purposes
WhatsApp,more affordable yet very powerful Twitter for,commercial purposes
the Government,accepted In,this context
the Government,accepted In,this context
the Government,accepted In,this context
the Government,accepted In,this context
the Government,accepted In,this context
the Government,accepted In,this context
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
Wayamba University of Sri Lanka,Australia in,collaboration
CBF,fallen Over, 
CBF,fallen Over,the past 10 years
 NAQDA,provide through,their respective Fisheries Societies
 NAQDA,provide through,their respective Fisheries Societies
 NAQDA,provide through,their respective Fisheries Societies
 The Colombo Stock Exchange,performed in,the past 12 months
 The Colombo Stock Exchange,performed with,the All Share Price Index
 The Colombo Stock Exchange,performed in,the past 12 months
 The Colombo Stock Exchange,performed with,the All Share Price Index
 The Colombo Stock Exchange,performed in,the past 12 months
 The Colombo Stock Exchange,performed with,the All Share Price Index
the Average Daily Turnover of the CSE,stands In, 
the Average Daily Turnover of the CSE,stands In,2021
the Average Daily Turnover of the CSE,stands at,$4.8 bn
the Average Daily Turnover of the CSE,stands as,against
the Average Daily Turnover of the CSE,stands in,2020
the Average Daily Turnover of the CSE,stands In, 
the Average Daily Turnover of the CSE,stands In,2021
the Average Daily Turnover of the CSE,stands at,$4.8 bn
the Average Daily Turnover of the CSE,stands as,against
the Average Daily Turnover of the CSE,stands in,2020
the SEC,commenced As,an initial step
the SEC,commenced As,an initial step
the SEC,commenced As,an initial step
the SEC,commenced As,an initial step
the SEC,commenced As,an initial step
the SEC,assist in,organising
the SEC,assist in,organising
The SEC,are in,the process
The SEC,are in,the process
The SEC,are in,the process
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
Amza,participated in,these initial virtual forums
the Sri Lanka Bureau of Foreign,zero departures of,migrant workers
State,Minister of,Money
State,Minister of,Money
the Central Bank,come In, 
the Central Bank,come In,a situation
the Central Bank,come to,the forefront
The Central Bank,guaranteeing with,the reimbursement
Foreign Direct Investments,encourage to,the country
the Government,resumed of,Instead
the Government,resumed of,going
Online eventWith Nations Trust Bank,coming as,its Banking Partner
Online eventWith Nations Trust Bank,coming as,its Banking Partner
Online eventWith Nations Trust Bank,coming as,its Banking Partner
Online eventWith Nations Trust Bank,coming as,its Banking Partner
John Keells Group,provides With,a history
John Keells Group,provides to,"over 14,000 persons"
John Keells Group,provides With,a history
John Keells Group,provides to,"over 14,000 persons"
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission,entered into,a Memorandum
 The Securities and Exchange Commission,entered with,"the Commissioner General, Department for Registration of Persons"
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
the Consumer Affairs Authority,began from,yesterday
the Consumer Affairs Authority,began from,yesterday
the Army,deployed in,the paddy purchasing
the Army,deployed in,the paddy purchasing
the Army,deployed in,the paddy purchasing
 Bandula Gunawardana,told on,Friday
Parliament,told on,Friday
the SLSI,conducts in,coconut oil
Iron One Technologies (Pvt,a root cause analysis from,the system provider
Limited,Limited regarding,a disruption
Iron One Technologies (Pvt,a root cause analysis from,the system provider
Limited,Limited regarding,a disruption
 Seylan Bank PLC,secured in,the latest edition
 Seylan Bank PLC,secured in,the latest edition
 Seylan Bank,moved from,last year
 Seylan Bank,moved after,a solid performance
State,Minister of,Finance
State,Minister of,Finance
State,Minister of,Finance
The Colombo Stock Exchange,rated in,recent times
The Colombo Stock Exchange,rated in,recent times
The Colombo Stock Exchange,rated in,recent times
Chittoor,reported As,of
 Chrissworld Limited,listed on,the Empower Board
 Chrissworld Limited,listed from,May 18
CSE,the Empower Board of,the Colombo Stock Exchange
 Chrissworld Limited,listed on,the Empower Board
 Chrissworld Limited,listed from,May 18
CSE,the Empower Board of,the Colombo Stock Exchange
 Chrissworld Limited,listed on,the Empower Board
 Chrissworld Limited,listed from,May 18
CSE,the Empower Board of,the Colombo Stock Exchange
Ruhunu Lanka Minerals,became under,the brand
Ruhunu Lanka Minerals,affiliated to,the Hansagiri Group of Companies
Ruhunu Lanka Minerals,affiliated to,the Hansagiri Group of Companies
Ruhunu Lanka Minerals,affiliated to,the Hansagiri Group of Companies
 Crystal Stone,calls for,a temporary ban
State,Minister of,Money
ASPI,recording in,the first three days of 2021
 NII,grew by,17%
 NII,grew to,10
 NDB NEOS,digitised undergo,continuous upgrades
the ASPI,recorded during,which
The CSE,embarked on,an awareness drive
The CSE,embarked in,2017
CSE,conducting In, 
CSE,conducting In,addition
CSE,conducting to,an exclusive audience
CSE,conducting In, 
CSE,conducting In,addition
CSE,conducting to,an exclusive audience
CSE,conducting In, 
CSE,conducting In,addition
CSE,conducting to,an exclusive audience
CSE,conducting In, 
CSE,conducting In,addition
CSE,conducting to,an exclusive audience
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
CSE,the Colombo Stock Exchange in,2020
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
CSE,the Colombo Stock Exchange in,2020
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
CSE,the Colombo Stock Exchange in,2020
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
CSE,the Colombo Stock Exchange in,2020
CSE,launched In,its drive
CSE,is As,the second phase
CSE,is As,the second phase
BOV Capital,done with,its investment
Candor Group of Companies Director,President of,the Colombo Stock Brokers Association
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange, The Securities and Exchange Commission of,Sri Lanka
Stock Brokers and Unit Trust Management Companies,provided with,valuable investment advice
the CSE,return to,operating
the CSE,return to,operating
the CSE,return to,operating
the CSE,engage with,the Government
The CSE,focus on,promotion strategies
the CSE,comprised As,of
the CSE,comprised with,a market capitalisation
the CSE,taken Given,the increased level
The CSE,taking in,the past
 IFC,partnered to,Ring
the Bell for Gender Equality,Ring for,the sixth consecutive year
 IFC,partnered to,Ring
the Bell for Gender Equality,Ring for,the sixth consecutive year
 IFC,partnered to,Ring
the Bell for Gender Equality,Ring for,the sixth consecutive year
 IFC,partnered to,Ring
the Bell for Gender Equality,Ring for,the sixth consecutive year
 IFC,supported under,the IFC-DFAT Women
 IFC,supported under,the IFC-DFAT Women
IFC,join to,ring
IFC,join to,ring
 The Colombo Stock Exchange,recorded on,Wednesday
 The Colombo Stock Exchange,recorded with,reaching
 The Colombo Stock Exchange,recorded on,Wednesday
 The Colombo Stock Exchange,recorded with,reaching
the Colombo Stock Exchange,recorded in,January 2021
the Colombo Stock Exchange,recorded in,January 2021
the AGM,see as,a good opportunity
The National Chamber of Commerce,hold on,Friday
The National Chamber of Commerce,hold from,9.30 a.
The National Chamber of Commerce,hold on,Friday
The National Chamber of Commerce,hold from,9.30 a.
The National Chamber of Commerce,hold on,Friday
The National Chamber of Commerce,hold from,9.30 a.
CSE,hopes Through,this revision
Bus Transport Services and Train Compartments and, State Minister of,Vehicle Regulation
Bus Transport Services and Train Compartments and, State Minister of,Vehicle Regulation
Bus Transport Services and Train Compartments and, State Minister of,Vehicle Regulation
Senior Professor of Finance,Head of,Department
the Central Bank,predicts in,the same year
 Arpico Finance Company PLC,introduced on,January 1
 Arpico Finance Company PLC,introduced on,January 1
 Arpico Finance Company PLC,introduced on,January 1
AFC,has since,1955
AFC,has since,1955
 AFC,recognises with,gratitude
Sri Lanka Basketball,approved in,our medium term plan
State,Minister for,Money
State,Minister for,Money
State,Minister for,Money
State,Minister for,Money
the SEC,work on,expediting
the SEC,work on,expediting
the SEC,work on,expediting
 The Colombo Stock Exchange,introduce Over,the Counter (OTC
 The Colombo Stock Exchange,introduce Over,platform
 The Colombo Stock Exchange,introduce Over,the Counter (OTC
 The Colombo Stock Exchange,introduce Over,platform
the CSE,reach on,or
the CSE,reach on,before
 The Colombo Stock Exchange,partnered with,Academy
 The Colombo Stock Exchange,partnered with,Academy
 The Colombo Stock Exchange,partnered with,Academy
 The Colombo Stock Exchange,partnered with,Academy
the Colombo Stock Exchange,recorded In,the financial account
the Colombo Stock Exchange,recorded In,the financial account
ASPI,All Share Price Index within,the first five months of this year
ASPI,All Share Price Index within,the first five months of this year
the state owned Ceylon Electricity Board,a SME company on,the Empower Board
the state owned Ceylon Electricity Board,a SME company on,the Empower Board
the state owned Ceylon Electricity Board,a SME company on,the Empower Board
the state owned Ceylon Electricity Board,a SME company on,the Empower Board
Initial Public Offering,(CEB of,Chrissworld Ltd
Initial Public Offering,(CEB on,the Empower Board
Initial Public Offering,(CEB of,Chrissworld Ltd
Initial Public Offering,(CEB on,the Empower Board
Initial Public Offering,(CEB of,Chrissworld Ltd
Initial Public Offering,(CEB on,the Empower Board
Initial Public Offering,(CEB of,Chrissworld Ltd
Initial Public Offering,(CEB on,the Empower Board
 WindForce Ltd,listed at,the CSE
 WindForce Ltd,listed in,April
a Total Foreign Investment,attracted on,the very first day
 WindForce Ltd,listed at,the CSE
 WindForce Ltd,listed in,April
a Total Foreign Investment,attracted on,the very first day
the AGM,see as,a good opportunity
"RanilaWijesundara, Legal Counsel for Capital Alliance Group",PyumiSumanasekara at,KPMG
Cofounder of Cafe Kumbuk,PyumiSumanasekara at,KPMG
"RanilaWijesundara, Legal Counsel for Capital Alliance Group",PyumiSumanasekara at,KPMG
Cofounder of Cafe Kumbuk,PyumiSumanasekara at,KPMG
"RanilaWijesundara, Legal Counsel for Capital Alliance Group",PyumiSumanasekara at,KPMG
Cofounder of Cafe Kumbuk,PyumiSumanasekara at,KPMG
"RanilaWijesundara, Legal Counsel for Capital Alliance Group",PyumiSumanasekara at,KPMG
Cofounder of Cafe Kumbuk,PyumiSumanasekara at,KPMG
"RanilaWijesundara, Legal Counsel for Capital Alliance Group",PyumiSumanasekara at,KPMG
Cofounder of Cafe Kumbuk,PyumiSumanasekara at,KPMG
 The Colombo Stock Exchange,showcased during,the first seven months of this year
 The Colombo Stock Exchange,showcased during,the first seven months of this year
the CSE,facilitated To, 
the CSE,facilitated To,date
the CSE,facilitated since,2014
the CSE,facilitated since,2011
the CSE,established With,opting
the CSE,established With,opting
 The Colombo Stock Exchange,record after,probably
 The Colombo Stock Exchange,record after,the second quarter this year
 The Colombo Stock Exchange,record after,probably
 The Colombo Stock Exchange,record after,the second quarter this year
 The Colombo Stock Exchange,record after,probably
 The Colombo Stock Exchange,record after,the second quarter this year
 The Colombo Stock Exchange,record after,probably
 The Colombo Stock Exchange,record after,the second quarter this year
 The Colombo Stock Exchange,record after,probably
 The Colombo Stock Exchange,record after,the second quarter this year
The Indian Association,involved in,the effort
 The CSE,formulated for,the listing
Listing Rules,formulated for,the listing
the Government,has under,the present state
the Government,expects According,to
the Government,expects According,to
ISB,issuing from,2009
ISB,issuing from,2009
CHEC Port City Colombo Pvt Limited,arrangement with,the Government
CHEC Port City Colombo Pvt Limited,arrangement with,the Government
CHEC Port City Colombo Pvt Limited,arrangement with,the Government
 The CCCC,ranked as,the 93rd
 The CCCC,ranked in,2019
 The CCCC,has since,1998
ASPI,all share price index of,the Colombo Stock Exchange
ASPI,all share price index of,the Colombo Stock Exchange
ASPI,all share price index of,the Colombo Stock Exchange
CSE,categorized as,the bench mark exchange
CSE,categorized as,the bench mark exchange
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
the Council for Startups (CFS,held In, 
the Council for Startups (CFS,held In,line
the Council for Startups (CFS,held on,the Startup Ecosystem Landscape
The Council for Startups of the Ceylon Chamber of Commerce,called in,applications
CSE, The Colombo Stock Exchange in,association
CSE, The Colombo Stock Exchange in,association
CSE, The Colombo Stock Exchange in,association
CSE, The Colombo Stock Exchange in,association
CSE, The Colombo Stock Exchange in,association
CSE,a joint initiative of,the SEC
CSE,a joint initiative of,the SEC
Renuke Wijayawardhane,the Chief Regulatory Officer of,the CSE
Renuke Wijayawardhane,the Chief Regulatory Officer of,the CSE
Renuke Wijayawardhane,the Chief Regulatory Officer of,the CSE
Renuke Wijayawardhane,the Chief Regulatory Officer of,the CSE
(PPE,personal protective equipment as,such
(PPE,personal protective equipment as,face masks
